//源址：https://github.moeyy.xyz/https://github.com/tansuotv/IPTVindex/blob/main/tv.txt



❤️241008,#genre#
俄罗斯 24,http://178.163.16.255:81/udp/234.0.0.207:2000

俄罗斯1,http://178.163.16.255:81/udp/234.0.0.201:2000

ABC NEWS 美国,https://abc-iview-mediapackagestreams-2.akamaized.net/out/v1/6e1cc6d25ec0480ea099a5399d73bc4b/index.m3u8

BBC America East 英国,http://fl2.moveonjoy.com/BBC_AMERICA/index.m3u8

BBC NEWS 英国,https://vs-hls-push-ww-live.akamaized.net/x=4/i=urn:bbc:pips:service:bbc_news_channel_hd/t=3840/v=pv14/b=5070016/main.m3u8
BBC NEWS 英国,https://d2vnbkvjbims7j.cloudfront.net/containerA/LTN/playlist.m3u8

Bloomberg TV 4K 美国,https://bloomberg-bloombergtv-1-gb.samsung.wurl.tv/playlist.m3u8

Bloomberg TV 美国,https://bloomberg.com/media-manifest/streams/us.m3u8

Bloomberg TV Asia 美国,https://bloomberg.com/media-manifest/streams/asia-event.m3u8

CBC News 美国,https://dai2.xumo.com/amagi_hls_data_xumo1212A-redboxcbcnews/CDN/playlist.m3u8

CBN News 美国,https://bcovlive-a.akamaihd.net/re8d9f611ee4a490a9bb59e52db91414d/us-east-1/734546207001/playlist.m3u8

CBS News 美国,https://cbsn-us.cbsnstream.cbsnews.com/out/v1/55a8648e8f134e82a470f83d562deeca/master.m3u8

CBS News Los Angeles 美国,https://cbsn-la.cbsnstream.cbsnews.com/out/v1/57b6c4534a164accb6b1872b501e0028/master.m3u8

CBS News Texas 美国,https://cbsn-dal.cbsnstream.cbsnews.com/out/v1/ffa98bbf7d2b4c038c229bd4d9122708/master.m3u8

CGTN 中国,https://pi.0472.org/tv/fct.php?auth=230918

CJB TV 韩国,http://1.222.207.80:1935/live/cjbtv/playlist.m3u8

CNA 新加坡,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8
CNA 新加坡,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8
CNA 新加坡,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index.m3u8

CNN International 美国,https://turnerlive.warnermediacdn.com/hls/live/586495/cnngo/cnn_slate/VIDEO_0_3564000.m3u8
CNN International 美国,https://turnerlive.warnermediacdn.com/hls/live/586495/cnngo/cnn_slate/VIDEO_2_1964000.m3u8
CNN International 美国,https://turnerlive.warnermediacdn.com/hls/live/586495/cnngo/cnn_slate/VIDEO_3_1464000.m3u8
CNN International 美国,https://turnerlive.warnermediacdn.com/hls/live/586495/cnngo/cnn_slate/VIDEO_4_1064000.m3u8
CNN International 美国,https://cnn-cnninternational-1-eu.rakuten.wurl.tv/playlist.m3u8

DW 德国,https://dwamdstream102.akamaized.net/hls/live/2015525/dwstream102/stream05/streamPlaylist.m3u8

euro news 欧洲,https://rakuten-euronews-10-be.samsung.wurl.tv/playlist.m3u8
euro news 欧洲,https://39997b2f529e4793961899e546833a75.mediatailor.us-east-1.amazonaws.com/v1/master/44f73ba4d03e9607dcd9bebdcb8494d86964f1d8/Samsung-es_EuroNewsLive/playlist.m3u8

Fox 2 美国,https://lnc-wjbk.tubi.video/index.m3u8

Fox 4 美国,https://lnc-kdfw.tubi.video/index.m3u8

Fox 5 美国,https://lnc-waga.tubi.video/index.m3u8

Fox 9 美国,https://lnc-kmsp.tubi.video/index.m3u8

Fox 26 美国,https://lnc-kriv.tubi.video/index.m3u8

Fox News 美国,http://fl2.moveonjoy.com/FOX_News_Channel/index.m3u8

Fox News Now 美国,https://fox-foxnewsnow-samsungus.amagi.tv/playlist720p.m3u8
Fox News Now 美国,https://fox-foxnewsnow-samsungus.amagi.tv/playlist.m3u8

GB NEWS 英国,http://live-gbnews.simplestreamcdn.com/live5/gbnews/bitrate1.isml/bitrate1-audio_0=192000-video=1000000.m3u8

INDIA Today 印度,https://feeds.intoday.in/hltapps/api/master.m3u8

KBS WORLD 韩国,https://kbsworld-ott.akamaized.net/hls/live/2002341/kbsworld/01.m3u8
KBS WORLD 韩国,https://wms4-kortv.akamaized.net/a_live/63719963/smil:20ch011.smil/playlist.m3u8

NBC News 美国,http://dai2.xumo.com/xumocdn/p=roku/amagi_hls_data_xumo1212A-xumo-nbcnewsnow/CDN/playlist.m3u8

NBC San Francisco News 美国,https://nbcu-nbcsanfrancisconews-firetv.amagi.tv/playlist.m3u8

NBC 4 Los Angeles News 美国,https://nbcu-nbclosangelesnews-firetv.amagi.tv/playlist.m3u8

NBC 4 Washington News 美国,https://nbcu-nbcwashingtonnews-firetv.amagi.tv/playlist.m3u8

NBC 4 New York 美国,https://nbcu-nbcnewyorknews-firetv.amagi.tv/playlist.m3u8
NBC 4 New York 美国,https://nbcu-nbcnewyorknews-firetv.amagi.tv/playlist404.m3u8

NBC 5 Chicago News 美国,https://nbcu-nbcchicagonews-firetv.amagi.tv/playlist.m3u8

NBC 10 Boston News 美国,https://nbcu-nbcbostonnews-firetv.amagi.tv/playlist.m3u8

NBC 10 Philadelphia News 美国,https://nbcu-nbcphiladelphianews-firetv.amagi.tv/playlist.m3u8

NHK BSP4K 日本,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=bs01&checkedby:iptvcat.com

NHK E 日本,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=gd02&checkedby:iptvcat.com

NHK G 日本,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=gx06&checkedby:iptvcat.com
NHK G 日本,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=gd01&checkedby:iptvcat.com

NHK World 日本,https://nhkwlive-ojp.akamaized.net/hls/live/2003459/nhkwlive-ojp-en/index.m3u8

NHK World Premium 日本,https://cdn.skygo.mn/live/disk1/NHK_World_Premium/HLSv3-FTA/NHK_World_Premium.m3u8

NHK 综合 东京 日本,https://stream01.willfonk.com/live_playlist.m3u8?cid=BS291&r=FHD&ccode=JP&m=d0:20:20:04:35:cc&t=0d6938cb3dcf4b79848bc1753a59daf1

NTV News 24 日本,https://n24-cdn-live.ntv.co.jp/ch01/index.m3u8

Russia Today 俄罗斯,https://rt-glb.rttv.com/live/rtnews/playlist_2500Kb.m3u8

SBS 韩国,http://61.82.49.4:1935/live/_definst_/tv.stream/chunklist_w432889607.m3u8

TBS News 日本,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=cs11

WION 印度,https://d7x8z4yuq42qn.cloudfront.net/index_7.m3u8
